,Comapny_Name,Role,City/Zip,Datetime_Posted
475,Bison,newCleaner (part-time),London WC2E,1 day ago
476,Cleaning Express,Full time or part time Domestic cleaner,London+1 location,14 days ago
477,Sahara Grill,newKitchen & Grill Cleaner,East London E1 1HH+1 location,2 days ago
478,Cleaning Express,Domestic House Cleaner,London+1 location,15 days ago
479,Britannia Integrated Services lTD,Cleaner,London,8 days ago
480,May Harris Multi Services,"School Cleaner, Afternoons (N1 5JN)",London N1 5DS,14 days ago
481,Leonardo Hotels - Rena Health Club & Spa - 3d...,newCleaner (part-time),London EC3N 2BQ,3 days ago
482,Cleaning Express,newEnd of tenancy cleaner,East London+1 location,Just posted
483,Plus Cleaning,Domestic Cleaner,London EC2A,14 days ago
484,Victoria Inn Hotel,newHotel Cleaner,London SW1V 2BG,2 days ago
485,Travelodge,newHousekeeping Team Member - Part Time - 20 hours per week,London E1,2 days ago
486,Cleantec Services Limited,newArea Manager Cleaning,London EN1,7 days ago
487,M2G,newCleaner ( Ealing),London,2 days ago
488,Nationwide Cleaning Services,Cleaner,London,12 days ago
489,St Francis' Catholic Primary School,Cleaner (part-time),London E15 1HB,27 days ago
490,Leaped Performance Ltd,newHousekeeper,London W2,3 days ago
491,Armour Property Services,newCleaner,London IG1,6 days ago
492,Ridge Crest Cleaning Services,newWorking Team Leader School Cleaner,London SE1 6AF,Today
493,Compass Group,Cleaner - London,London EC1A 4HT,8 days ago
494,JPC Cleaning,newNight Cleaner,London N1C,Today
496,3D Leisure,newCleaner,London,Today
498,MEJ Cleaning,newCscs cleaner - Builders/Sparkle Cleans,London,Just posted
499,Get Set Clean,Domestic Cleaner,London+1 location,10 days ago
501,Hotel Cafe Royal,Public Area Cleaner,London W1B,14 days ago
503,Third Space - City,newFemale cleaner,London EC3R,3 days ago
504,Atalian Servest,newCleaner,London SE1,6 days ago
505,UK HAIDILAO PTE LTD 英国海底捞,newCleaner,London SE10 0DX,7 days ago
506,SIDEKICK GROUP LTD,Cleaner (Central London),London,22 days ago
507,Cleaning Express,Cleaner - flexible part-time or full-time,London,14 days ago
508,Ecocleen Services Ltd,newEarly Morning Cleaner,Chelsea,2 days ago
509,Hotelcare,newRoom Attendant,London+2 locations,1 day ago
510,Pioneer Quality Services Limited,newCleaner - Full time,London SW1Y,2 days ago
511,Nicky clean ltd,newCleaner,Soho+1 location,1 day ago
512,CDC Hospitality,Cleaner for Serviced Apartments,London,22 days ago
513,New Group Solutions Ltd,newSecurity Cleaner,Bermondsey,Just posted
514,HotelconHospitality,Housekeeping Assistant,London,9 days ago
515,NuServe,"newCleaner, London, E1 – 7h per day, £9.15 per hour",London,5 days ago
516,Optim Group,Cleaner (part-time),London EC1R 0BJ,14 days ago
518,ConiferGB,Night Cleaner,London E20,8 days ago
519,Go Native Ltd,Room Attendant,London SE1 9ED,14 days ago
520,The Rembrandt Hotel,Night Cleaner,London,12 days ago
521,The Sloane Club,Cleaner-Private Members Club/Hotel,London SW1W 8BS,12 days ago
522,Beaumont Business Centres,Commercial Cleaner,London WC1V 7PB,16 days ago
523,LCS Limited,Part Time Evening Cleaner,Clapham,9 days ago
524,City Commercial Cleaning,newCleaning Operative,London,Today
525,Apex Hotels Ltd,newLinen Porter,London,6 days ago
526,RAPID CLEAN,newEvening cleaning Operative / Cleaner,London,Today
527,M2G,newCleaner ( Hendon),London,2 days ago
528,Cleaning Scotland Ltd,Temporary Cleaner,London,12 days ago
529,The Lanesborough Hotel,newFloor Housekeeper,London SW1X 7TA,2 days ago
530,Strand Palace Hotel,Hotel Cleaner,London,14 days ago
531,Dynamic Cleaning ltd,End of tenancy cleaner,London,16 days ago
532,M2G,newCleaner (Bromley),London,2 days ago
533,Integra,newCleaner,Camden,6 days ago
534,Panzers,Cleaner - Full time,London NW8 6PB,23 days ago
535,Clos Maggiore,Kitchen Porter / Cleaner,London WC2E 8JD,11 days ago
536,ISS Facility Services,Cleaner (part-time),London W1F,9 days ago
537,Company O Ltd (t/a Farmstand),Kitchen Porter / Cleaner,London SE8 4NT,15 days ago
538,Calibre International,newRoom Attendant(Cleaning Hotel Rooms),London,1 day ago
539,Bayleaf Facilities Management Ltd,newCleaners,London W1D,1 day ago
540,Bike BUBL Balham,Window Cleaning on Bikes - with pay of up to £125+ per day!,London SW4 6LE,13 days ago
541,Cleanzy,newDomestic Cleaner: Immediate Start,London N1 2LH,2 days ago
542,GSS Southern Ltd,newCleaning Operative (part time),Whitechapel E1 5LQ,7 days ago
543,AMDAS Management Ltd,newCleaner - Full time,London,6 days ago
545,Shine S Cleaning Ltd,newDomestic Cleaner,London,6 days ago
546,Jane Jefferson Cleaning,newDomestic Cleaner,London,2 days ago
548,City Relay Ltd,newExperienced Cleaner,London,Just posted
549,Abatti Services,Commercial Cleaner,London WC2H,8 days ago
550,The London Clinic,newHousekeeping Assistant,London,2 days ago
551,BE Offices,Cleaner (part-time),London EC2Y 8AD,12 days ago
552,J D Wetherspoon plc,"newCleaner / 51 - The Beehive, Brixton",London SW9 7DG,5 days ago
553,RAPID CLEAN,newKey Holder Cleaner / Cleaning Operative 1RP,London,2 days ago
554,Third Space - Canary Wharf,Male Cleaner,London E14,17 days ago
555,Kemp Services Ltd,newCleaner (part-time),London,2 days ago
556,Ridge Crest Cleaning Services,newSupervisor School Cleaner,London NW5 1UJ,7 days ago
557,More Time Uk Ltd,"newCleaner - N15 6HR, LONDON",London N15 6HR,1 day ago
558,Spotless Solutionz LTD,newCleaner (part-time),London,6 days ago
560,The Ministry,Housekeeping Cleaner,London SE1 1DN,22 days ago
561,Third Space - Tower Bridge,Cleaner,London SE1,22 days ago
563,N Family Club,Part Time Cleaner,Brixton,23 days ago
564,SASSE,Cleaner (weekends),London SW8 1SS,8 days ago
565,Lee Channel Services Ltd,newHotel Housekeeper,London KT9,5 days ago
566,Assist,Cleaner (part-time),London,27 days ago
567,Sydney House Chelsea - Housekeeping,newRoom Attendant,London SW3 6PU,Today
568,Travelodge,newLinen Porter - Part Time - 25 hours per week,London SE1,5 days ago
569,NYX Hotel London Holborn,newRoom Attendant / Cleaner / Housekeeping,London,7 days ago
570,Bloom Eco Cleaning,newCleaning Team & Contract Cleaners,London,2 days ago
571,Cream Cleans Ltd,Cleaner (part-time),London,14 days ago
572,Atalian Servest,"Cleaner (Transport, Railway sector)",London NW1,27 days ago
573,Leonardo Royal Hotel London Tower Bridge,newPublic Area Cleaner,East London,2 days ago
574,Hotelcare,Public Area Cleaner,North London+1 location,19 days ago
575,Bespoke Hotels,Housekeeping Assistant,London SE1 3UN,10 days ago
577,Casna Group,newRoom Attendant,London,5 days ago
578,Compass Group,newCleaning Rapid Response - UCLH Hospital,London WC1E,6 days ago
579,Digme Fitness,Cleaner (part-time),London EC2Y,23 days ago
581,Lord Nelson,newKitchen Porter,London SE1 0LR,4 days ago
582,Fluid Options UK Ltd,Commercial Cleaner,London,9 days ago
583,JPC Cleaning,newCleaning Operative,London EC3V,6 days ago
584,Trade Team,Cleaner,London RM1,16 days ago
585,Trade Team,Cleaner,London RM1,16 days ago
586,Moda Foods Limited (T/A Manna Dew ),newCleaner,London SW11 3JS,3 days ago
587,Cabin Club UK ltd,Cleaner/Room Attendant,London W1D 3JG,20 days ago
588,Ridge Crest Cleaning Services,newTemporary/Cover School Cleaner,Mile End,6 days ago
590,Lefar Group Ltd,newPart Time House Cleaner,London,1 day ago
591,Guardsman Cleaning,Carpet Cleaner,London SW11,9 days ago
592,C4 Cleaning ltd,Commercial Cleaner,London,13 days ago
593,Inamo Restaurants,newKitchen Porter,London,Today
594,Hotelcare,newLinen Porter,London,1 day ago
595,Hospital of St John & St Elizabeth,Housekeeping Assistant,London NW8 9NH,18 days ago
596,Benugo,Cleaner (hygiene team),London SE16 3LL,22 days ago
597,Hotelcare,Room Attendant/Housekeeping,London SE1+8 locations,8 days ago
598,Pizza Pilgrims,newKitchen Porter,London SW1W 0RE,2 days ago
599,KVM cleaners ltd,Studio Pilates cleaner,London E8,15 days ago
600,Crowne Plaza London Kings Cross,Public Area Cleaner,London WC1X 9HX,9 days ago
601,Chalcot House Services Ltd,Domestic Cleaner/Housekeeper,London W1S,8 days ago
602,M2G,newCleaner ( Holiday Cover Acton),London,2 days ago
603,Ronald McDonald House Charities,newhouse keeper,London SE1 7JY,Just posted
604,Hampstead Activity Nursery,Cleaner,London,15 days ago
605,Tymia limited,newCleaning Assistant,London+3 locations,Today
606,Holland Park Staffing,Private Household Housekeeper,London SW3,9 days ago
607,RALDAN Limited Company,Cleaning Crew,London,9 days ago
608,Parker Benson,newDomestic Cleaner,Newington,Just posted
609,Mitie,Window Cleaner,London E14,13 days ago
610,Marriott Grosvenor Square,newGuest Room Attendant,London,2 days ago
611,Aqua,newKitchen Porter,London,2 days ago
612,Vincere,newNight Cleaning Attendant,London,1 day ago
613,Paul Rhodes Bakery Limited,newCleaner/Kitchen Porter,London,2 days ago
614,Ophelia,Cleaner (part-time),London W1W,23 days ago
615,Leonardo Royal Hotel London St. Paul's,Public Area Cleaner,London,13 days ago
616,M2G,newCleaner ( Holiday Cover Walthamstow),London,2 days ago
617,CleanTEC Services,newCleaner (part-time),London SM6,2 days ago
618,Ever Brite Cleaning Services,newEarly Morning Cleaner,London W1J,1 day ago
619,Union Jack Club,newHousekeeping Attendant / Room Attendant,London SE1,2 days ago
620,Gardenia Facilities,newCleaner (Casual),London N1,2 days ago
621,ConiferGB,Room Attendants (Cleaners) - Self Employed (£10.25 to £11.25...,London SW1Y,9 days ago
622,Travelodge,Housekeeping Team Member - Part Time - 8-24 hours per week a...,London SE1 6BN,27 days ago
623,Di Fonso Cleaning,newDomestic Cleaner,London,2 days ago
624,Sloane Square Hotel,newEvening Housekeeper/Porter,London SW1W 8EG,2 days ago
625,Calibre International,Hotel Public Area Cleaner London Bridge,London,14 days ago
626,Premier Support Services,Cleaner (part-time),London W1F,9 days ago
627,lrm property management,Housekeeper,London WC2B 5NE,10 days ago
628,Apex Agency,newSite Cleaner,London,7 days ago
629,Central Point Recruitment,newFlexible Cleaner - 7am-3pm - Camdentown,London NW1 0BY,Today
630,Central Point Recruitment,newFlexible Cleaner - 7am-3pm - Camdentown,London NW1 0BY,Today
631,The Stafford London,newEvening Room Attendant,London SW1A,3 days ago
632,J D Wetherspoon plc,"newCleaner / 254 - The Watch House, Lewisham",London SE13 6JP,4 days ago
634,The Lansbury Heritage Hotel,newHousekeeping Room Attendant,London E14 0AE,2 days ago
635,CT Services Group Ltd,newMobile Cleaner (London),London,1 day ago
636,Hyatt Place London City East,newLinen Porter - Immediate Start,London E1 1DU,2 days ago
637,Shiny Solutions,newHouse Cleaner,London SW7 4EF,1 day ago
638,SWEEPBOX CLEANERS,newRetail Cleaner,London,6 days ago
639,Union Jack Club,newKitchen Porter,London SE1,2 days ago
640,Ardmore,newWelfare cleaner,London W1J,6 days ago
641,Jane Jefferson Cleaning,newCleaning Operative,London,5 days ago
643,Bella Italia St Martin s Lane,newCleaner,London WC2N 4JS,7 days ago
644,Travelodge,newHousekeeping Team Member - Part Time - Fixed Term Contract,London E15 2JG,2 days ago
645,STEP Academy Trust,"STEP Cleaners, South London",South London,19 days ago
646,CJB Staffing Solutions Ltd,newGeneral Cleaner,London,Today
648,Happy Families Nannies - North London,newF/T Nanny/Housekeeper - Belsize Park NW3,London NW3,8 days ago
649,Page8,Key Housekeeping Assistant,London WC2N 4JH,27 days ago
650,Travelodge,Housekeeping Team Member - Part Time - Weekend only,London WC1X 8BH,14 days ago
651,Living Rooms,Head Housekeeper,London W1S,10 days ago
654,Armour Property Services,newSchool Cleaner,London,3 days ago
655,Ritz Limited,newDomestic Cleaner,London W2 2NB,2 days ago
656,Workforce Facilities Ltd,newArea Manager / Business Development – Cleaning Contracts,London,Today
657,Chocolate Factory Production Ltd.,Cleaner and Maintenance Officer,London SE1 1TE,27 days ago
658,Temper Restaurant,newKitchen Porter,London EC2R,2 days ago
659,SASSE,Cleaner,London,16 days ago
660,Murphy Services Cleaning Ltd,CSCS Cleaner,London,15 days ago
661,Newpin Limited,newGeneral Cleaner,Greenwich SE10+1 location,3 days ago
662,Q&M cleaning,House Cleaner,London W1W 7LT,14 days ago
663,The Windermere - Hotel & Brasserie,Hotel Housekeeping,London SW1V 4JE,8 days ago
664,Ferguson Care Division,newHousekeeping Assistant,London,5 days ago
665,Leonardo Royal Hotel London St. Paul's,Room Attendant,London,8 days ago
666,ConiferGB,Evening Hotel Housekeeper (Turn Down),London SE1,25 days ago
667,Divine's Cleaning Service,newCleaner,East London+1 location,6 days ago
668,Leonardo Hotels (London),newRoom Attendant / Cleaner / Housekeeping,London,7 days ago
669,"Hart Shoreditch Hotel, Curio Collection by Hilton",newHousekeeping Attendants (Casual),London,7 days ago
670,maid easy cleaning limited,House Cleaner,Waltham Forest,8 days ago
671,Fantastic Services,House Cleaner,London,18 days ago
672,ABM UK,newNight Cleaning Operative,London DA1,5 days ago
674,Leonardo Royal Hotel London Tower Bridge,newRoom Attendant / Cleaner / Housekeeping,East London,7 days ago
675,Elite Specialist Cleaning Group,Cleaning Operative,London SE1,23 days ago
676,Heaven Cleaning,Window Cleaner,London,22 days ago
678,Regular Cleaning,Cleaning Operative (part time),London WC2R 0BP,20 days ago
679,ISS Facility Services,Housekeeping Support Operative – Waste and Cups,London SE1,14 days ago
681,Clean Option,House Cleaner,Camden Town NW1,28 days ago
682,Beaverbrook,newRoom Attendant - The Town House,London,Today
683,BELVEDERE HOTEL,Cleaner /waitress,London W2 1RT,14 days ago
684,BOUYGUES,"University Cleaner - part-time - 0500-0800, Mon-Fri",London N1C 4AA,28 days ago
685,Union Jack Club,newCasual Housekeeping Attendant,London SE1,7 days ago
686,Urban Food Fest,newCleaner (part-time) - Shoreditch & Kensington,Shoreditch,6 days ago
687,fresh4ucleaners,Cleaner (part-time),East London,17 days ago
688,Silver and Bow,Travelling Housekeeper,London,9 days ago
689,The Salad Project,newKitchen Porter,London E1 6AG,6 days ago
690,Heeton Hospitality UK,Cleaner,London,15 days ago
691,Square Mile Cleaning Ltd,End of tenancy cleaner based in Islington,London N1 0EX,10 days ago
692,Dayco Property Maintenance Ltd,Mobile Cleaner,London EN5,9 days ago
693,Insight (RSWC),newWindow Cleaner- Full Time,London,1 day ago
694,Multi Trades Recruitment Limited,newCleaner,London,4 days ago
697,Staycity Group,Housekeeping Assistant,London,8 days ago
699,ConiferGB,Room Attendant (Cleaner) - Full Time - Immediate Start,London,19 days ago
700,Chotto Matte - Soho,newFront of House Cleaner,London W1D,5 days ago
701,Neat Cleaners Ltd,newKitchen Porter,London,5 days ago
702,Educlean Ltd,Cleaner (part-time) - Feltham,London TW13,21 days ago
703,Windmill Taverns Group,Part-time Kitchen Porter,London SE1 8TB,10 days ago
704,Compass Group,Housekeeping Assistant- Guys Hospital,London SE1,16 days ago
705,Compass Group,Housekeeping Assistant- Guys Hospital,London SE1,16 days ago
706,Gaughan Support Services Limited,Cleaner - End Of Tenancy,London,12 days ago
707,Radisson RED London Greenwich,Room Attendant,London SE10 0PL,19 days ago
708,Servisolutions Ltd,Cleaner (part-time),London E8 3DQ,8 days ago
709,Study Group,newHousekeeper,London SE8 3DE,Today
711,M2G,newCleaner (Holiday Cover Kingston Upon Thames),London,2 days ago
712,Elite Support Services London Limited,newCleaning Operative,London W1G,2 days ago
713,Hospital of St John & St Elizabeth,newKitchen Porter,London NW8 9NH,2 days ago
714,Cargiant,Car Cleaner,North London,21 days ago
715,Vincere,newLinen Porter,London,1 day ago
716,Calibre International,newRoom attendant (Cleaning Hotel Rooms) East London,London,2 days ago
718,Amazing Services Group,Housekeeping,Elephant & Castle,16 days ago
719,3 Henrietta Street,newKitchen Porter,London WC2E,Just posted
720,The London Management Company,Cleaner,London W1U,30 days ago
722,Americana Hotel,newCleaning Operative,London NW1,6 days ago
723,Golden Home Care,newGeneral Housekeeping,Battersea,Today
724,City Pub Group,Kitchen Porter,London,9 days ago
725,The London Management Company,Housekeeper,London W1U,30 days ago
726,Pioneer Quality Services Limited,Cleaner (part-time),London N1,9 days ago
727,Hawkey,newCleaning Operative,London NW1 8BF,4 days ago
728,Andrew Miller,newHealthcare Cleaner,London SW3,7 days ago
729,Brother Marcus,newKitchen Porter,London E1,Today
730,Victoria Inn Hotel,Hotel Housekeeper,London SW1V 2BG,12 days ago
731,19 London,Senior Housekeeper,London,15 days ago
733,DoubleTree by Hilton London Angel Kings Cross,newRoom Attendant - Evenings 3pm till 10pm,North London,2 days ago
734,The Cleaning Professionals LTD,newCleaner (part-time),East London,2 days ago
735,Tarem Services Ltd,Cleaner (part-time) - Kings Cross,London,19 days ago
736,Obtainable recruitment,newHouse keeping,London,2 days ago
738,Novotel London Greenwich,newLate Housekeeping / Public Area Cleaner,London SE10 8JA,6 days ago
740,The Mantl,Kitchen porter/Kitchen assistant,London SW3 1HY,13 days ago
742,N1 Services Ltd,Cleaner (part-time),London N4 1TJ,13 days ago
743,Britannia Hotels,Linen Porter,London E14,9 days ago
744,19 London,Full time Housekeeper,North London,26 days ago
745,M2G,newNight Cleaner For Back of House In A Restaurant,London,2 days ago
746,The Zetter Hotel,Room Attendant,London EC1M 5RJ,9 days ago
747,Atlas Cleaning Limited,newCasual Cover Cleaner,London SW8,2 days ago
748,Spotless Commercial Cleaning,newCleaning Operative,London,3 days ago
749,Pamper Cleaning Ltd,newContract Cleaner,London SE10,Today
750,The In and Out Naval and Military Club,newRoom Attendant/Linen Porter,London SW1Y 4JU,1 day ago
751,Inhouse Corporate Services Ltd,newCleaning Operative,London,2 days ago
752,Union Jack Club,Casual Kitchen Porter,London SE1,8 days ago
754,Cleaning Express,Private House Cleaner,London,26 days ago
755,Riviera Restaurants & Luxury Ltd,newKitchen Porter,London SW10 0LE,2 days ago
756,Criterion Hospitality,newRoom Attendant,London SW1Y 6HD,2 days ago
757,Bespoke Commercial Cleaning,Cleaning Operative (part time),London EC2Y,13 days ago
758,Sunset Stay Limited,Cleaner - Part Time,London SW5 0TG,20 days ago
759,Unique Support Services,newRoom Attendant/Housekeeping,London SW1H,Today
760,Huttons Hotel,Hotel housekeeping duties,London SW1V 2BB,12 days ago
761,Holiday Inn London - Regent's Park,newHousekeeping Team Member,London,6 days ago
763,Calibre International,Room Attendant Holborn(Cleaning Hotel Rooms),London,22 days ago
764,Mosaic Spa & Health Clubs,Cleaner (part-time),London W8 5SP,24 days ago
766,Mama Shelter Shoreditch,newHousekeeping Room Attendant,London,Today
767,Compass Group,Housekeeping Assistant- London Bridge Hospital Part time,London SE1 2PR,16 days ago
768,EasyHotel,Cleaning Staff,London W8 5JH,24 days ago
769,MND,Cleaning Staff,London,25 days ago
770,Shine S Cleaning Ltd,Cleaner (part-time),London,14 days ago
771,The Welcome People,newDriver/Night deep cleaner,London,2 days ago
772,MCG Construction,newCleaners,London SE1 7PB,1 day ago
773,THE BOX CLEANING COMPANY,newConstruction Cleaner,London,1 day ago
774,Purple Dragon Play,newKitchen Porter,London SW1W,1 day ago
776,Perfect Household Staff,newLive Out Private Housekeeper Job in Holborn,Holborn,5 days ago
777,Cleaners Trust,Domestic Cleaner,London,24 days ago
778,Fish Kitchen Ltd,newKitchen Porter,London SE1 9AL,1 day ago
779,Knightsbridge Commercial Cleaning Services,newKitchen Porter Required,London SE10 0DX,7 days ago
780,Mitchells & Butlers,newKitchen Porter,London WC2N 4AG,2 days ago
781,Nationwide Specialist Services,newWindow Cleaner,Bermondsey+2 locations,1 day ago
782,Crimson Hotels,newLinen Porter,London,5 days ago
783,LekoGo,Cleaner (Casual),London W1W 7LT,23 days ago
784,Housekeeping - The Rubens at the Palace,newCasual Room Attendant,London SW1W 0PS,1 day ago
785,Balfour Hospitality,Housekeeper,London EC2M 4RH,14 days ago
786,Restaurant Mere,newKitchen Porter,London W1T,2 days ago
787,Cleanzy,newDomestic Cleaning: Flexible Hours,London SW9 8PU,2 days ago
788,Ela's Cleaning and Ironing Services Limited,Domestic Cleaner,London TW11,18 days ago
789,Hyatt Place London City East,newRoom Attendant - Immediate Start,London E1 1DU,1 day ago
791,Innoventive Property Services,Cleaning Operative Mayfair,London W1J,16 days ago
793,Innoventive Property Services,Night Cleaning Operative,London,16 days ago
795,"Hart Shoreditch Hotel, Curio Collection by Hilton",newHousekeeping Manager,London,Today
796,Compass Group,Housekeeper- The Portland Hospital,London W1W 5AH,12 days ago
797,ProClean Professional Cleaning Services,Window Cleaner,Islington N1 2BX,11 days ago
798,SIDEKICK GROUP LTD,Specialist Cleaner (Central London),London,22 days ago
799,Multi Trades Recruitment Limited,newCleaner DBS (12155810),London,1 day ago
800,Pizza Express,Cleaner - Fixed term contract,London SE1+1 location,9 days ago
801,Rocco Forte Hotels,Housekeeping Linen Porter - Â£9.21 per hour,London,19 days ago
802,Nong Hospitality Limited T/A KIN,newKitchen Porter (Full or Part Time),London,7 days ago
804,JM2 Group,Window Cleaner,London,15 days ago
805,Walkers FM Ltd,newNight Time Cleaning Operative,London NW1,3 days ago
806,Royal Garden Hotel,newPublic Area Attendant - Evenings,London W8 4PT,Today
807,Easy Great Cleaning,Domestic House Cleaner,London,27 days ago
809,BOUYGUES,newKitchen Porter - University canteen,London SE1,7 days ago
810,Compass Group,newCleaning Supervisor - UCLH,London WC1E,3 days ago
811,Paragon Building Solutions,Commercial Cleaner (Part-time),London HA0,23 days ago
812,Daniel Galvin,Domestic Cleaner,London W1U 7ET,9 days ago
814,Sloane Square Hotel,Housekeeper/Room Attendant,London SW1W 8EG,30 days ago
817,Leonardo Royal Hotel London St. Paul's,newLobby Luggage porter / Concierge,London,2 days ago
818,"Mildreds, Camden",Kitchen Porter,London NW1,13 days ago
819,Clayton Hotel City Of London,newAccommodation Manager / Head Housekeeper,London E1,7 days ago
820,Atalian Servest,Cleaning Manager,London EC3M,16 days ago
822,Charles Hope Apartments,Housekeeping Attendant,London E14,16 days ago
823,Prtzl LTD,Cleaner (part-time),London NW1 8AF,18 days ago
824,Puttshack Bank,newKitchen Porter,London EC2R 8EN,2 days ago
827,HPS Services FM Ltd.,Cleaning Operative - High-end Residential Building,London SE15,20 days ago
828,Hired Limited,newFleet & Porter Manager,London,3 days ago
829,YOTEL,Hotel Room Attendant,London EC1M 5RJ,19 days ago
830,Arora Hotels,newHousekeeping Room Attendant,London SE10,5 days ago
831,Camm & Hooper,Event Porter,London EC2R,13 days ago
832,Liverpool Street Grind,newKitchen Porter,London EC2M 2QS,Today
833,Greenwich Staycity Aparthotels,Housekeeping Attendant,London SE10 8LA,10 days ago
834,Yellow Panda Pub Co Ltd,newKitchen Porter,London SE11 5UG,3 days ago
835,Vincere,newRoom Attendants,London,1 day ago
836,Apex Hotels Ltd,Public Area Cleaner,London,20 days ago
837,Kricket White City,newKitchen Porter,London,2 days ago
838,Sloane Square Hotel,Housekeeping Porter,London SW1W 8EG,22 days ago
839,Excellerate Services,newPortfolio Manager (Cleaning),London,Just posted
841,Vincere,newHouse Keeping Assistant,London,1 day ago
